abraham:2025-06-20,AAPL:$192.54:BUY:10
abraham:2025-06-20,MSFT:$325.11:SELL:5
issac:2025-06-20,TSLA:$670.0:BUY:8
abraham:2025-06-20,GOOGL:$143.21:SELL:2
issac:2025-06-20,AMZN:$3345.55:BUY:1
jacob:2025-06-20,NFLX:$500.0:BUY:3
jacob:2025-06-20,FB:$350.0:SELL:4
abraham:2025-06-20,NVDA:$600.0:BUY:6
abraham:2025-06-20,IBM:$140.25:BUY:7
issac:2025-06-20,ORCL:$120.1:SELL:3
jacob:2025-06-20,INTC:$45.6:BUY:12
abraham:2025-06-20,AMD:$110.75:SELL:4
issac:2025-06-20,BABA:$85.3:BUY:9
jacob:2025-06-20,UBER:$45.9:SELL:6
abraham:2025-06-20,DIS:$95.8:BUY:5
issac:2025-06-20,PYPL:$70.4:SELL:2
jacob:2025-06-20,ADBE:$510.0:BUY:1
abraham:2025-06-20,CRM:$220.5:SELL:3
